ids,lat,lon,t1_count,t2_count,theta,dx,dy,zdx,zdy,abs_dist,lisa_cat
2359,31.639708,65.711751,146.0,151.0,3.13387446253,-0.652604136184,0.00503702342891,-0.570252089504,0.730339132747,1.30059122225,Lh
2360,31.639708,65.712751,146.0,152.0,6.19885959455,0.0330389993203,-0.00279265967461,0.0288698115027,-0.332883647191,0.361753458694,Hl
2361,31.639708,65.713751,146.0,152.0,6.28036769503,0.37943335811,-0.00106909886882,0.331552702921,-0.0988346969218,0.430387399843,Hl
2362,31.639708,65.714751,147.0,152.0,3.14546358443,-0.320531075618,-0.00124075982237,-0.280083293205,-0.122145197976,0.15793809523,Ll
2363,31.639708,65.715751,148.0,152.0,3.16004686334,-0.127134708861,-0.00234643695574,-0.111091593444,-0.272289348117,0.161197754674,Ll
2364,31.639708,65.716751,150.0,153.0,6.27172826293,0.18831195538,-0.00215759281072,0.164548889718,-0.24664547541,0.411194365127,Hl
2365,31.639708,65.717751,150.0,154.0,3.15208343241,-0.180007004438,-0.00188848295076,-0.157291939654,-0.210102012586,0.0528100729324,Ll
2366,31.639708,65.718751,150.0,155.0,3.14808080057,-0.318790594913,-0.00206838925919,-0.278562443576,-0.234532182089,0.0440302614868,Ll
2367,31.639708,65.719751,152.0,155.0,3.1452077252,-0.256681412489,-0.000927925728465,-0.22429081229,-0.0796642532701,0.14462655902,Ll
2368,31.639708,65.720751,152.0,156.0,6.27799768383,0.0852699149109,-0.00044235216963,0.0745097133985,-0.0137263523024,0.0882360657009,Hl
2369,31.639708,65.721751,152.0,157.0,0.00442623998169,0.141409378569,0.000625915932779,0.123564944096,0.131337881658,0.00777293756155,Hh
2370,31.639708,65.722751,153.0,159.0,0.00884469012422,0.0433448528114,0.000383381788782,0.0378751704355,0.098403237509,0.0605280670735,Hh
2371,31.639708,65.723751,153.0,160.0,3.05084406591,-0.0513456082008,0.00467237462049,-0.0448663113516,0.680822068689,0.72568838004,Lh
2372,31.639708,65.724751,154.0,160.0,0.0014783113516,1.1899965066,0.00175918662558,1.03983097373,0.285229067353,0.754601906378,Hh
2373,31.639708,65.725751,154.0,162.0,0.0156190247591,0.294865091334,0.00460587970906,0.257656096755,0.67179246894,0.414136372186,Hh
2374,31.639708,65.726751,154.0,162.0,0.00164881312082,0.605838590112,0.000998915521686,0.529387882727,0.181988930313,0.347398952414,Hh
2375,31.639708,65.727751,154.0,162.0,0.00965928355473,0.47270402841,0.0045661242579,0.413053557236,0.666393923337,0.253340366101,Hh
2376,31.639708,65.728751,155.0,163.0,0.00676858251421,0.647519724808,0.0043828576188,0.56580927946,0.641507441608,0.0756981621489,Hh
