ID,lat,lon,COUNTt1,COUNTt2
1017,31.615708,65.737751,203,96
1018,31.615708,65.738751,45,3
1019,31.615708,65.739751,1,1
1020,31.615708,65.740751,0,2
1021,31.615708,65.741751,75,20
1022,31.615708,65.742751,33,5
1023,31.615708,65.743751,16,1
1024,31.615708,65.744751,25,0
1025,31.615708,65.745751,24,0
1026,31.615708,65.746751,26,0
1031,31.616708,65.694751,3,0
1033,31.616708,65.696751,2,25
1034,31.616708,65.697751,4,16
1035,31.616708,65.698751,12,23
1036,31.616708,65.699751,2,0
1037,31.616708,65.700751,194,164
1038,31.616708,65.701751,193,154
1039,31.616708,65.702751,1135,754
1040,31.616708,65.703751,67,122
1041,31.616708,65.704751,8,23
1042,31.616708,65.705751,11,14
